what,raw,all_proteins,map,tmp,in_tmh,in_sol,single_in_tmh,single_in_sol,multi_in_tmh,multi_in_sol
Number of variations,60931,37831,16623,21208,3803,17405,452,7734,3351,9671
Number of unique variations,60544,37630,16606,21024,3789,17235,451,7733,3338,9502
Number of unique SNPs,NA,9621,4219,6026,1140,4936,160,2393,994,2762
Number of unique gene names,953,911,457,605,325,590,96,282,243,344
Number of unique protein names,5163,4780,2227,2553,1280,2467,304,1032,976,1435
Percentage TMH,NA,9.978325,0,18.682489999999998,25.68375,18.18121,10.547180000000001,5.359196,35.33563,25.791639999999997
